Rank,Team,GLM_Rating
287,Coppin St,-12.475823303080215
288,Samford,-12.6925406704784
289,Mt St Mary's,-12.713889045940292
290,East Texas A&M,-12.8089221184077
291,Wright St,-12.819792447558545
292,Boston Univ,-12.824545926706026
293,LIU Brooklyn,-12.95523486465738
294,North Florida,-13.161183003914251
295,Northeastern,-13.294066372841034
296,Portland St,-13.317063379424372
297,Lafayette,-13.320780207712396
298,Bucknell,-13.413990113387452
299,Iona,-13.440650902024355
300,Detroit,-13.51580676804037
301,Manhattan,-13.69475596120261
302,WI Milwaukee,-14.08724136632512
303,Cornell,-14.166981289138436
304,N Illinois,-14.178786404853517
305,Marist,-14.529655769034566
306,Indiana St,-14.54061513016162
307,Buffalo,-14.64798212602012
308,Hampton,-14.7351112396972
309,Sacred Heart,-14.7928476722834
310,Winthrop,-15.051323160312553
311,Alcorn St,-15.198038141543524
312,San Jose St,-15.377276065388298
313,Grambling,-15.990190536954998
314,Jackson St,-16.055705600545057
315,E Illinois,-16.151628913653614
316,Houston Chr,-16.173382866150913
317,Alabama St,-16.657810623765958
318,Dartmouth,-16.92630477468242
319,Colgate,-17.08849846447473
320,Long Beach St,-17.138914638337663
321,Louisiana,-17.232258178645434
322,NC Central,-17.400665149152633
323,North Dakota,-17.79228808328701
324,American Univ,-17.824973455299766
325,UNC Wilmington,-18.30815648561158
326,Tennessee St,-18.531920774083545
327,Gardner Webb,-18.55476319768495
328,UNC Asheville,-18.57500456762704
329,Charleston So,-18.775254193676822
330,Seattle,-19.08702727826854
331,Cal Poly,-19.70156311722544
332,Queens NC,-19.86702136834661
333,Mercyhurst,-20.23442047635617
334,Wagner,-20.26171981433358
335,Rider,-20.278740746112387
336,TAM C. Christi,-20.560001203568227
337,Canisius,-20.62898578175572
338,SC Upstate,-20.86928834736847
339,Ark Pine Bluff,-21.02461397002832
340,SE Louisiana,-21.100038925221323
341,Delaware St,-21.115777137832577
342,Stonehill,-21.514639605741472
343,W Carolina,-21.873541921577544
344,St Peter's,-21.90729589012371
345,New Haven,-22.15150630180015
346,Florida A&M,-22.617289820426112
347,Morgan St,-22.700335565600177
348,MA Lowell,-22.77968506953162
349,Chicago St,-22.911361101630547
350,TX Southern,-22.972146607759395
351,Bethune-Cookman,-23.08367378173018
352,NE Omaha,-24.330448749986054
353,New Orleans,-24.44325244387715
354,Le Moyne,-25.760873588037025
355,St Francis PA,-28.31191737480506
356,Valparaiso,-28.596027056916544
357,MS Valley St,-30.275994957892184
358,S Carolina St,-30.38460080511283
359,Prairie View,-30.911294354591597
360,Central Conn,-32.38542656265009
361,Niagara,-32.62549660092778
362,Presbyterian,-33.58156034829245
363,Bellarmine,-33.988894267973215
